MCS,Cell_ID,Cell_TarVol,Cell_Vol,Cell_TarSur,Cell_Sur
0,2701,82.0,82,0.0,46.0
0,2702,181.0,180,0.0,62.0
0,2703,103.0,103,0.0,46.0
0,2704,106.0,107,0.0,52.0
0,2705,68.0,68,0.0,40.0
0,2706,97.0,98,0.0,46.0
0,2707,135.0,134,0.0,56.0
0,2708,59.0,61,0.0,36.0
0,2709,105.0,103,0.0,46.0
0,2710,86.0,86,0.0,46.0
0,2711,130.0,128,0.0,50.0
0,2712,173.0,172,0.0,68.0
0,2713,123.0,123,0.0,46.0
0,2714,112.0,111,0.0,48.0
0,2715,79.0,78,0.0,40.0
0,2716,127.0,129,0.0,46.0
0,2717,469.0,470,0.0,104.0
0,2718,92.0,92,0.0,44.0
0,2719,155.0,156,0.0,60.0
0,2720,59.0,59,0.0,36.0
0,2721,138.0,138,0.0,50.0
0,2722,142.0,142,0.0,60.0
0,2723,289.0,289,0.0,76.0
0,2724,67.0,67,0.0,40.0
0,2725,169.0,169,0.0,54.0
0,2726,104.0,105,0.0,48.0
0,2727,100.0,100,0.0,48.0
0,2728,100.0,99,0.0,52.0
0,2729,148.0,149,0.0,56.0
0,2730,162.0,163,0.0,66.0
0,2731,109.0,109,0.0,48.0
0,2732,100.0,100,0.0,46.0
0,2733,109.0,110,0.0,46.0
0,2734,106.0,105,0.0,52.0
0,2735,111.0,110,0.0,44.0
0,2736,137.0,136,0.0,54.0
0,2737,50.0,49,0.0,34.0
0,2738,58.0,59,0.0,40.0
0,2739,131.0,131,0.0,54.0
0,2740,88.0,89,0.0,42.0
0,2741,201.0,200,0.0,62.0
0,2742,130.0,130,0.0,54.0
0,2743,310.0,311,0.0,84.0
0,2744,60.0,58,0.0,40.0
0,2745,304.0,304,0.0,76.0
0,2746,132.0,133,0.0,54.0
0,2747,170.0,169,0.0,58.0
0,2748,129.0,129,0.0,50.0
0,2749,54.0,54,0.0,38.0
0,2750,179.0,179,0.0,66.0
0,2751,170.0,169,0.0,58.0
0,2752,263.0,264,0.0,72.0
0,2753,300.0,301,0.0,80.0
0,2754,116.0,115,0.0,52.0
0,2755,61.0,59,0.0,34.0
0,2756,78.0,77,0.0,40.0
0,2757,110.0,110,0.0,60.0
0,2758,151.0,150,0.0,54.0
0,2759,151.0,151,0.0,52.0
0,2760,137.0,137,0.0,52.0
0,2761,84.0,82,0.0,42.0
0,2762,186.0,186,0.0,60.0
0,2763,146.0,146,0.0,56.0
0,2764,144.0,143,0.0,52.0
0,2765,90.0,90,0.0,42.0
0,2766,149.0,150,0.0,62.0
0,2767,98.0,97,0.0,48.0
0,2768,152.0,152,0.0,54.0
0,2769,121.0,121,0.0,54.0
0,2770,180.0,181,0.0,60.0
0,2771,280.0,282,0.0,78.0
0,2772,110.0,110,0.0,52.0
0,2773,178.0,178,0.0,60.0
0,2774,127.0,127,0.0,54.0
0,2775,150.0,149,0.0,62.0
0,2776,110.0,110,0.0,44.0
0,2777,152.0,151,0.0,54.0
0,2778,78.0,80,0.0,44.0
0,2779,86.0,86,0.0,44.0
0,2780,106.0,107,0.0,48.0
0,2781,146.0,145,0.0,56.0
0,2782,169.0,169,0.0,60.0
0,2783,164.0,164,0.0,56.0
0,2784,72.0,72,0.0,38.0
0,2785,84.0,84,0.0,48.0
0,2786,100.0,100,0.0,48.0
0,2787,84.0,86,0.0,46.0
0,2788,84.0,84,0.0,42.0
0,2789,109.0,110,0.0,58.0
